family,model,condition,n_records,mean_faithfulness,mean_gold_evidence_faithfulness,mean_gold_evidence_hallucination_rate,mean_hallucination_rate,mean_bertscore_f1,mean_context_precision,mean_context_recall,mean_legal_accuracy,mean_latency_s,mean_input_tokens,mean_gen_input_tokens,mean_gen_output_tokens,sum_cost_usd,mean_cost_usd,sum_total_cost_usd,mean_total_cost_usd,sum_gen_cost_usd,mean_gen_cost_usd,sum_judge_cost_usd,mean_judge_cost_usd
ablation,models/gemini-2.5-flash,advanced_rag_HS,100,0.906667,0.585001,0.414999,0.093333,0.532996,0.0,0.0,,3.754866,2252.75,2252.75,23.93,0.0,0.0,0.32814,0.003281,0.117423,0.001174,0.210717,0.002107
ablation,models/gemini-2.5-flash,advanced_rag_MF,100,0.84,0.576667,0.423333,0.16,0.506877,0.012,0.015333,,3.816514,1970.69,1970.69,24.91,0.0,0.0,0.287778,0.002878,0.103519,0.001035,0.184259,0.001843
ablation,models/gemini-2.5-flash,advanced_rag_QR,100,0.766667,0.453334,0.546666,0.233333,0.481717,0.008,0.011166,,5.761616,1843.29,1843.29,21.42,0.0,0.0,0.269862,0.002699,0.096448,0.000964,0.173414,0.001734
ablation,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,100,0.803333,0.471667,0.528333,0.196667,0.525848,0.003333,0.003333,,6.262298,1311.76,1311.76,26.91,0.0,0.0,0.194681,0.001947,0.070975,0.00071,0.123706,0.001237
ablation,models/gemini-2.5-flash,advanced_rag_RR,100,0.725,0.49,0.51,0.275,0.496516,0.016666,0.012,,4.182916,1303.13,1303.13,24.13,0.0,0.0,0.195059,0.001951,0.069987,0.0007,0.125072,0.001251
ablation,models/gemini-2.5-flash,advanced_rag_simple_rag,100,0.815,0.604167,0.395833,0.185,0.512857,0.012,0.015333,,3.814269,1970.69,1970.69,25.78,0.0,0.0,0.287846,0.002878,0.103691,0.001037,0.184155,0.001842
niah,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,30,0.816667,0.466667,0.533333,0.183333,0.507477,0.0,0.0,,6.371491,1410.166667,1410.166667,27.4,0.0,0.0,0.066614,0.00222,0.022795,0.00076,0.043819,0.001461
niah,models/gemini-2.5-flash,lc,30,0.683333,0.57778,0.42222,0.316667,0.547637,,,,3.353562,11133.433333,11133.433333,23.566667,0.0,0.0,0.179019,0.005967,0.168415,0.005614,0.010604,0.000353
niah,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,30,0.905557,0.48889,0.51111,0.094443,0.505753,0.0,0.0,,3.607934,2050.233333,2050.233333,23.8,0.0,0.0,0.097088,0.003236,0.032177,0.001073,0.064911,0.002164
phase1,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,300,0.764178,0.480834,0.519166,0.235822,0.489673,0.003333,0.003611,,6.008211,1339.35,1339.35,24.0,0.0,0.0,0.848683,0.002829,0.215314,0.000718,0.633369,0.002111
phase1,models/gemini-2.5-flash,lc,249,0.451033,0.599063,0.400937,0.548967,0.553445,,,,3.533586,35890.702811,35890.702811,28.172691,0.0,0.0,4.656039,0.018699,4.482416,0.018002,0.173623,0.000697
phase1,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,300,0.84518,0.508056,0.491944,0.15482,0.509618,0.008,0.011611,,3.577097,1990.3,1990.3,25.416667,0.0,0.0,1.276502,0.004255,0.313796,0.001046,0.962706,0.003209
phase2,gpt-4o-mini,advanced_rag_QR_MF_HS_RR,300,0.78,0.475556,0.524444,0.22,0.647431,0.004444,0.004278,,7.664255,1550.906667,1550.906667,99.363333,0.069791,0.000233,0.35879,0.001196,0.043832,0.000146,0.314958,0.00105
phase2,gpt-4o-mini,lc_windowed,300,0.523889,0.575,0.425,0.476111,0.727682,,,,13.924176,45051.166667,45051.166667,139.453333,2.027302,0.006758,1.228643,0.004095,1.026199,0.003421,0.202444,0.000675
phase2,gpt-4o-mini,simple_rag_cs512_k5_fixed,300,0.857222,0.565,0.435,0.142778,0.680701,0.008,0.011611,,4.718376,2332.426667,2332.426667,116.763333,0.104959,0.00035,0.5179,0.001726,0.062991,0.00021,0.454909,0.001516
phase2,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,300,0.761667,0.453889,0.546111,0.238333,0.488916,0.006666,0.0065,,6.307169,1324.91,1324.91,23.75,0.0,0.0,0.598106,0.001994,0.213007,0.00071,0.385099,0.001284
phase2,models/gemini-2.5-flash,lc,300,0.616111,0.560556,0.439444,0.383889,0.548252,,,,3.644146,51719.65,51719.65,26.746667,0.0,0.0,7.957311,0.026524,7.773993,0.025913,0.183318,0.000611
phase2,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,300,0.84,0.556667,0.443333,0.16,0.507165,0.008,0.011611,,3.622297,1990.3,1990.3,24.276667,0.0,0.0,1.170644,0.003902,0.313114,0.001044,0.85753,0.002858
