verdict_id,nomor_putusan,year,stratum,n_chars,est_pages,sample_rank,official_source_url,official_source_note,official_portal
29_PUU-XVIII_2020,,2020,short,39775,19,1,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
113_PUU-XXIII_2025,,2025,short,50779,25,2,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
175_PUU-XXIII_2025,,2025,short,41123,20,3,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
2_PUU-XXIII_2025,,2025,short,57740,28,4,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
166_PUU-XXIII_2025,,2025,short,35189,17,5,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
24_PUU-XXI_2023,,2023,short,55345,27,6,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
14_PUU-XIX_2021,,2021,short,46657,23,7,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
58_PUU-XVII_2019,,2019,short,51808,25,8,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
49_PUU-XIX_2021,49/PUU-XIX/2021,2021,short,46824,23,9,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
12_PUU-XXIII_2025,12/PUU-XXIII/2025,2025,short,28467,14,10,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
107_PUU-XX_2022,107/PUU-XX/2022,2022,short,57553,28,11,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
116_PUU-XXII_2024,116/PUU-XXII/2024,2024,short,33059,16,12,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
18_PUU-XX_2022,18/PUU-XX/2022,2022,short,51321,25,13,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
39_PUU-XX_2022,39/PUU-XX/2022,2022,short,34704,17,14,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
73_PUU-XXII_2024,73/PUU-XXII/2024,2024,short,44807,22,15,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
154_PUU-XXI_2023,,2023,medium,155220,77,16,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
115_PUU-XX_2022,,2022,medium,106146,53,17,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
67_PUU-XIX_2021,,2021,medium,80866,40,18,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
24_PUU-XXII_2024,,2024,medium,112910,56,19,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
54_PUU-XIX_2021,,2021,medium,61458,30,20,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
63_PUU-XXIII_2025,,2025,medium,72338,36,21,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
70_PUU-XXIII_2025,,2025,medium,77355,38,22,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
